클래스 명,접근자,타입,변수명,설명,비고,,,클래스 명: 해당 변수가 속한 클래스명
,private,boolean,level,"관리자 권한 레벨 : 관리자 0, 직원 1",,,,
,private,String,uuid,자동 로그인 토큰,,,,
,private,LocalDateTime,createAt,계정 생성 일자,,,,
MembersEntity,private,String,phone,회원 번호,,,,
,private,Integer,point,보유 포인트,,,,
,private,LocalDateTime,createdAt,생성일,,,,
MovieEntity,private,Long,movieId,영화 인덱스,PK,,,
,private,String,title,영화 제목,,,,
,private,String,genre,장르,,,,
,private,String,rating,"ENUM ('ALL', '12', '15', '19') 관람 등급",,,,
,private,Long,runtime,상영 시간(분단위),,,,
,private,String,director,감독,,,,
,private,String,actors,"주연 배우, 쉼표로 구문",,,,
,private,String,description,줄거리,,,,
,private,LocalDateTime,startAt,상영 시작일,,,,
,private,LocalDateTime,endAt,상영 종료일,,,,
,private,LocalDateTime,createAt,영화 등록일,,,,
SeatPolicyEntity,private,String,policyId,좌석 정책 인덱스,PK,,,
,private,String,name,"좌석 이름(리클라이너, 일반, 천연가죽 등)",,,,
,private,Long,cost,좌석 비용,,,,
BonusPolicyEntity,private,Long,id,적립 정책 인덱스,,,,
,private,String,policyName,정책 이름,,,,
,private,Long,giveValue,적립 비율,,,,
,private,LocalDateTime,startAt,시작일,,,,
,private,LocalDateTime,endAt,만료일,,,,
,private,Boolean,activation,활성화 여부(중요할까?),,,,
DiscountPolicyEntity,private,Long,id,할인 정책 인덱스,,,,
,private,String,policyName,할인 정책 이름,,,,
,private,DiscountType,discountType,"ENUM ('RATIO', 'WON') 할인 방식(비율, 고정)",,,,
,private,Long,discountValue,할인 값,,,,
,private,ConditionType,conditionType,"ENUM ('TIME', 'AGE', 'JOB'), 할인 유형",,,,
,private,LocalDateTime,startAt,시작일,,,,
,private,LocalDateTime,endAt,만료일,,,,
,private,boolean,activation,활성화 여부(중요할까?),,,,
TheaterEntity,private,Long,no,상영관 번호,,,,
,private,String,policyId,좌석 정책,,,,
,private,Long,cleanupTime,청소시간,,,,
ScheduleEntity,private,Long,id,스케쥴 인덱스,,,,
,private,Long,no,상영관 번호,,,,
,private,Long,movieId,영화 번호,,,,
,private,LocalDateTime,startTime,상영 시작 시간,,,,
,private,LocalDateTime,endTime,상영 종료 시간,,,,
StatisticsEntity,private,Long,id,통계 고유번호,,,,
,private,Long,scheduleId,스케쥴 아이디,,,,
,private,String,day,"ENUM ('SUN','MON', 'TUE', 'WED', 'THU', 'FRI', 'SAT'), 요일",,,,
,private,Long,revenue,수익,,,,
,private,Long,customerCount,관람객 수,,,,
ReservationDetailsEntity,private,String,id,예매 고유번호(uuid),,,,
,private,Long,scheduleId,스케쥴 아이디,,,,
,private,String,phone,회원 번호,,,,
,private,LocalDateTime,createAt,예약 시간,,,,
ReservationSeatEntity,private,Long,id,인덱스,,,,
,private,String,reservationId,예매 내역,,,,
,private,String,seatNumber,좌석 번호,,,,
PaymentDetailsEntity,private,String,id,인덱스,,,,
,private,String,reservationId,예매 내역,,,,
,private,Long,bonusPolicyId,사용한 적립 정책,,,,
,private,String,couponNum,"사용한 할인 정책, 없는 경우 null",,,,
,private,Long,cost,결제 금액,,,,
,private,LocalDateTime,time,결제 시간,,,,
,private,Long,usePoint,사용 포인트 기본값 0,,,,
,private,String,status,"ENUM ('PAY','RETURN','FAIL'), 결제 완료, 환불, 실패",,,,
PointHistoryEntity,private,Long,pointId,포인트 내역 인덱스,,,,
,private,String,paymentId,결제 고유번호,,,,
,private,String,phone,회원 번호,,,,
,private,Type,type,"ENUM ('EARN', 'USE') 적립 / 사용",JPA에 @Enumerated 있으므로 지정,,,
,private,Long,amountPoint,변경된 포인트,,,,
,private,LocalDateTime,createAt,포인트 변경일,,,,
CouponEntity,private,String,couponNum,쿠폰 번호,만료일은 이벤트와 동일하게 취급,,,
,private,Long,policyId,할인정책 인덱스,,,,
,private,Boolean,status,"사용가능여부(true : 가능, false : 불가능)",,,,
,,,,,,,,
공통 어노테이션,,,,,,,,
"@Getter
@ToString
@Builder
@NoArgsConstructor
@AllArgsConstructor ",,,,,,,,
AdminVO,private,Long,adminId,관리자 인덱스,,,,
,private,String,loginId,관리자 아이디,,,,
,private,String,password,관리자 비밀번호,,,,
,private,String,name,관리자 이름,,,,
,private,String,phoneAdmin,전화번호,,,,
,private,boolean,level,"관리자 권한 레벨 : 마스터 0, 알바 1",,,,
,private,String,uuid,자동 로그인 토큰,,,,
,private,LocalDateTime,createAt,계정 생성 일자,,,,
MembersVO,private,String,phone,회원 번호,,,,
,private,Long,point,보유 포인트,,,,
